         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57804.602543 19.401649      NaN   -29    21 c    0   2.45 186.44114 12.66357  5731.64  6868.46 3.65 3.54 -84.7 -0.424    19.47 21.21 02a57804o0749c
57804.619463 19.351140      NaN   -17    22 c    0   2.14 186.44114 12.66357  5789.03  6946.45 3.70 3.60  89.7 -0.419    19.42 21.14 02a57804o0778c
57804.633166 19.401649      NaN   -40    21 c    0   3.27 186.44114 12.66357  5808.08  6828.75 3.69 3.55 -90.0 -0.414    19.40 21.08 02a57804o0804c
57804.650827 19.318728 0.335301    68    21 c    0   3.18 186.44114 12.66357  5774.31  6885.19 3.66 3.62  73.1 -0.412    19.33 20.98 02a57804o0839c
57808.580492 19.038793      NaN    22    22 c    0   1.99 186.44114 12.66357  5845.70  5651.92 3.68 3.50  85.8 -0.395    19.59 21.48 02a57808o0688c
57808.586360 19.302877      NaN   -50    23 c    0   1.86 186.44114 12.66357  5828.98  5612.10 3.67 3.50  88.3 -0.396    19.46 21.34 02a57808o0699c
57808.606500 19.351140      NaN     3    21 c    0   2.05 186.44114 12.66357  5888.28  5687.79 3.67 3.50 -89.5 -0.396    19.61 21.48 02a57808o0739c
57808.627241 19.454622      NaN   -32    20 c    0   2.42 186.44114 12.66357  5909.72  5570.60 3.68 3.51  83.8 -0.396    19.56 21.41 02a57808o0777c
57808.628235 19.454622      NaN   -42    20 c    0   2.28 186.44114 12.66357  5871.44  5628.22 3.67 3.50  87.1 -0.397    19.59 21.44 02a57808o0779c
57816.504300 19.384550      NaN    19    15 c    0   3.00 186.44114 12.66357  8843.42  4155.30 3.83 3.49  89.2 -0.403    19.78 21.90 02a57816o0493c
57816.513548 19.271854      NaN    17    18 c    0   2.26 186.44114 12.66357  8823.65  4121.98 3.83 3.48  87.0 -0.401    19.78 21.89 02a57816o0511c
57816.515004 18.878500      NaN    48    18 c    0   2.83 186.44114 12.66357  8880.26  4199.49 3.81 3.43  88.8 -0.407    19.78 21.90 02a57816o0514c
57816.535860 19.142275      NaN    26    18 c    0   1.82 186.44114 12.66357  8898.03  4085.97 3.87 3.49  87.6 -0.403    19.76 21.88 02a57816o0553c
