         MJD         m       dm  uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57900.429320 19.841877      NaN   -6    14 c    0    1.01 186.43772 12.66691  7518.73  4609.18 2.89 2.47  43.7 -0.453    19.55 21.14 02a57900o0345c
57904.290845 19.922338      NaN   -5    13 c    0    1.00 186.43772 12.66691  6296.03  4967.86 2.62 2.52 -42.1 -0.432    19.36 20.58 02a57904o0058c
58135.657423 19.384550      NaN   22    14 c    0    0.99 186.43772 12.66691  7583.39  1284.39 3.13 2.94  56.8 -0.389    19.65 21.72 02a58135o0947c
58162.613307 16.954622      NaN  267   111 c    0    0.96 186.43772 12.66691  1295.37 10193.06 2.82 2.40  16.6 -0.443    17.66 19.41 02a58162o0364c
58162.623919 19.384550      NaN   16    16 c    0    0.69 186.43772 12.66691  1315.89 10073.47 2.72 2.28  12.0 -0.430    19.82 21.78 02a58162o0386c
58163.596772 18.550302      NaN  -34    46 c    0    1.07 186.43772 12.66691  7741.21  2142.80 2.65 2.56  82.3 -0.403    17.86 19.80 02a58163o0703c
58163.603362 18.816441      NaN    9    33 c    0    0.98 186.43772 12.66691  7724.62  2104.56 2.75 2.66  79.0 -0.399    18.48 20.40 02a58163o0714c
58163.623781 19.868040      NaN   11    10 c    0    1.41 186.43772 12.66691  7784.18  2182.52 2.69 2.59  56.7 -0.412    19.82 21.86 02a58163o0755c
58163.635664 19.569016      NaN    9    15 c    0    0.85 186.43772 12.66691  7802.51  2063.51 2.79 2.66  51.0 -0.401    19.64 21.74 02a58163o0778c
58167.585709 18.757738      NaN  -46    38 c    0    1.11 186.43772 12.66691  3373.36  9173.85 2.71 2.37  12.7 -0.444    18.40 20.37 02a58167o0781c
58167.602228 19.696897      NaN  -26    16 c    0    0.93 186.43772 12.66691  3356.02  9133.00 2.73 2.34  10.3 -0.437    19.21 21.37 02a58167o0816c
58167.606387 18.702047      NaN  -54    40 c    0    1.00 186.43772 12.66691  3414.16  9213.01 2.73 2.29  10.8 -0.452    18.19 20.27 02a58167o0823c
58167.620628 17.896499      NaN    0    84 c    0    0.94 186.43772 12.66691  3432.65  9093.06 2.86 2.43  19.1 -0.439    17.43 19.63 02a58167o0853c
58171.553705 18.836735      NaN   25    27 c    0    1.02 186.43772 12.66691  2081.36  9379.37 2.63 2.33  10.1 -0.445    18.90 20.69 02a58171o0493c
58171.571486 17.217448      NaN  -61   157 c    0    1.03 186.43772 12.66691  2060.70  9337.81 2.77 2.51  10.2 -0.438    16.69 18.39 02a58171o0528c
58171.575494 16.679551      NaN   32   247 c    0    0.85 186.43772 12.66691  2119.31  9417.78 2.69 2.39   9.7 -0.461    16.49 18.12 02a58171o0535c
58171.591152 17.699983      NaN   98    68 c    0    0.80 186.43772 12.66691  2139.70  9298.05 2.66 2.31  10.0 -0.445    17.76 19.43 02a58171o0565c
58194.469806 19.766969      NaN    9    12 c    0    1.13 186.43772 12.66691  7189.34  5883.17 2.61 2.52 -32.4 -0.405    19.76 21.59 02a58194o0547c
58194.482053 19.894850      NaN    4    12 c    0    1.25 186.43772 12.66691  7166.57  5847.96 2.59 2.46  68.1 -0.428    19.76 21.58 02a58194o0573c
58194.489749 19.979496      NaN    1    12 c    0    1.34 186.43772 12.66691  7225.18  5923.54 2.66 2.53 -54.9 -0.432    19.74 21.58 02a58194o0588c
58194.502279 19.868040      NaN    5    12 c    0    2.07 186.43772 12.66691  7234.85  5807.52 2.58 2.54 -71.6 -0.418    19.76 21.57 02a58194o0615c
58226.459370 19.169763      NaN  -17    26 c    0    1.54 186.43772 12.66691  2972.81  9166.66 2.74 2.53 -46.6 -0.405    18.60 20.23 02a58226o0294c
58226.469944 18.582238      NaN   59    25 c    0    1.02 186.43772 12.66691  2953.39  9126.95 2.71 2.55 -23.3 -0.414    18.76 20.40 02a58226o0316c
58226.480958 18.944322      NaN  -23    32 c    0    0.99 186.43772 12.66691  3009.53  9204.00 2.67 2.48 -16.5 -0.436    18.55 20.12 02a58226o0339c
58226.491313 19.014394      NaN  -11    30 c    0    1.69 186.43772 12.66691  3029.34  9085.77 2.77 2.60 -18.7 -0.420    18.33 19.94 02a58226o0361c
58227.442544 19.384550      NaN   16    16 c    0    1.18 186.43772 12.66691  3580.14  9102.57 2.56 2.47 -13.9 -0.440    19.41 21.21 02a58227o0277c
58227.459107 17.892199      NaN  106    49 c    0    1.38 186.43772 12.66691  3561.79  9061.39 2.70 2.60  -9.3 -0.433    17.70 19.34 02a58227o0313c
58227.462844 18.631975      NaN   26    34 c    0    1.05 186.43772 12.66691  3619.01  9140.71 2.69 2.64  50.6 -0.441    18.53 20.21 02a58227o0320c
58227.476751 17.990970      NaN  -32    77 c    0    0.90 186.43772 12.66691  3637.16  9021.18 2.65 2.52  -5.4 -0.434    17.43 19.08 02a58227o0350c
58251.409289 20.009244      NaN   -6    12 c    0    0.91 186.43772 12.66691  5672.98  1525.35 2.64 2.58  56.6 -0.399    19.76 21.67 02a58251o0394c
58251.498315 19.696897      NaN   -6    16 c    0    0.97 186.43772 12.66691  2609.32 10406.96 2.69 2.56 -40.5 -0.394    19.42 21.02 02a58251o0574c
58251.507944 19.766969      NaN   -7    15 c    0    1.09 186.43772 12.66691  2610.41 10408.71 2.76 2.60 -27.5 -0.393    19.29 20.90 02a58251o0594c
58251.508400 19.696897      NaN  -26    16 c    0    1.13 186.43772 12.66691  7559.93   736.25 2.70 2.65 -82.3 -0.403    19.39 21.06 02a58251o0595c
58251.519717 19.384550      NaN   10    18 c    0    0.98 186.43772 12.66691  7557.72   738.83 2.75 2.66 -46.1 -0.407    19.30 20.94 02a58251o0618c
