         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57840.538546 19.155932      NaN     1    26 c    0   2.00 186.44114 12.65885  6487.61  5587.66 3.77 3.55  87.9 -0.398    18.94 20.71 02a57840o0586c
57840.540112 19.454622      NaN   -17    20 c    0   2.59 186.44114 12.65885  6506.30  5471.56 3.75 3.52  88.1 -0.400    18.95 20.70 02a57840o0589c
57844.477299 18.900000      NaN    34    22 c    0   2.68 186.44114 12.65885  8533.33  5680.18 3.83 3.48 -87.0 -0.421    19.62 21.61 02a57844o0466c
57844.483034 19.256669      NaN   -29    24 c    0   1.96 186.44114 12.65885  8515.84  5640.33 3.74 3.38 -85.9 -0.428    19.63 21.60 02a57844o0477c
57844.503795 19.212347      NaN    -9    25 c    0   1.66 186.44114 12.65885  8574.16  5717.07 3.90 3.57 -85.4 -0.414    19.57 21.57 02a57844o0517c
57844.524943 19.102305      NaN     5    26 c    0   1.57 186.44114 12.65885  8592.91  5600.32 3.84 3.50 -88.7 -0.418    19.56 21.49 02a57844o0556c
57844.525978 19.063754      NaN    14    24 c    0   1.83 186.44114 12.65885  8553.78  5658.01 3.79 3.41 -88.0 -0.426    19.56 21.48 02a57844o0558c
57868.491248 16.543740      NaN  -122   292 c    0   1.39 186.44114 12.65885  7170.92  3774.21 3.10 2.69  26.1 -0.450    15.95 16.87 02a57868o0287c
57868.504432 19.454622      NaN    -4    20 c    0   1.66 186.44114 12.65885  7226.15  3853.22 3.26 2.87  28.5 -0.432    18.96 20.02 02a57868o0312c
57868.517543 19.076453      NaN    25    20 c    0   1.52 186.44114 12.65885  7244.48  3738.08 3.22 2.75  24.6 -0.428    19.07 20.05 02a57868o0337c
57868.531199 19.271854      NaN     5    22 c    0   1.47 186.44114 12.65885  7207.51  3795.59 3.51 3.07  28.6 -0.420    18.93 19.99 02a57868o0363c
57869.509492 19.631075      NaN   -33    17 c    0   1.77 186.44114 12.65885  6552.83  6651.58 2.77 2.64  18.5 -0.465    19.25 20.39 02a57869o0331c
57869.523777 19.271854      NaN    23    16 c    0   2.14 186.44114 12.65885  6534.03  6612.95 2.75 2.59  19.9 -0.469    19.18 20.25 02a57869o0358c
57869.538675 19.491430      NaN     1    19 c    0   1.60 186.44114 12.65885  6591.48  6691.83 2.79 2.66  17.4 -0.472    19.07 20.11 02a57869o0386c
57869.553529 19.334813 0.291690    67    18 c    0   2.54 186.44114 12.65885  6611.03  6577.69 3.07 2.95  14.9 -0.444    18.88 19.97 02a57869o0414c
57896.370213 19.696897      NaN   -13    16 c    0   2.36 186.44114 12.65885  8760.71  5324.16 3.79 3.53  68.2 -0.421    19.43 21.46 02a57896o0198c
57900.377593 19.791368      NaN     2    14 c    0   1.67 186.44114 12.65885  7467.61  4576.98 2.94 2.40  52.0 -0.461    19.62 21.33 02a57900o0249c
57900.411878 19.510313      NaN     3    18 c    0   1.03 186.44114 12.65885  7551.00  4535.34 2.89 2.45  45.3 -0.459    19.59 21.23 02a57900o0312c
57900.429320 19.569016      NaN    15    13 c    0   2.51 186.44114 12.65885  7512.37  4593.50 2.90 2.47  43.7 -0.453    19.55 21.14 02a57900o0345c
57904.290845 19.367717      NaN    17    16 c    0   1.02 186.44114 12.65885  6289.63  4952.22 2.62 2.52 -42.2 -0.432    19.36 20.58 02a57904o0058c
58135.657423 20.009244      NaN    -9    12 c    0   2.43 186.44114 12.65885  7577.07  1268.62 3.13 2.94  56.8 -0.389    19.65 21.72 02a58135o0947c
58162.613307 17.491297      NaN   -23   122 c    0   1.07 186.44114 12.65885  1288.87 10177.25 2.82 2.40  16.6 -0.443    17.66 19.41 02a58162o0364c
58162.623919 19.051202      NaN    27    20 c    0   1.08 186.44114 12.65885  1309.39 10057.68 2.72 2.28  12.0 -0.431    19.82 21.78 02a58162o0386c
58163.596772 18.226218      NaN    -2    62 c    0   0.89 186.44114 12.65885  7734.89  2127.08 2.65 2.56  82.1 -0.403    17.86 19.80 02a58163o0703c
58163.603362 18.944322      NaN   -43    32 c    0   1.20 186.44114 12.65885  7718.29  2088.84 2.75 2.66  78.9 -0.400    18.48 20.40 02a58163o0714c
58163.623781 19.922338      NaN     0    13 c    0   1.64 186.44114 12.65885  7777.86  2166.80 2.69 2.59  56.6 -0.412    19.82 21.86 02a58163o0755c
58163.635664 19.609992      NaN     7    15 c    0   1.45 186.44114 12.65885  7796.19  2047.78 2.79 2.66  50.9 -0.401    19.64 21.74 02a58163o0778c
58167.585709 18.474346      NaN    16    44 c    0   1.14 186.44114 12.65885  3366.89  9158.13 2.71 2.37  12.7 -0.444    18.40 20.37 02a58167o0781c
58167.602228 19.115465      NaN    25    19 c    0   1.70 186.44114 12.65885  3349.56  9117.28 2.73 2.34  10.3 -0.437    19.21 21.37 02a58167o0816c
58167.606387 18.757738      NaN    -1    38 c    0   1.11 186.44114 12.65885  3407.69  9197.29 2.73 2.29  10.9 -0.452    18.19 20.27 02a58167o0823c
58167.620628 17.243105      NaN   208    84 c    0   1.16 186.44114 12.65885  3426.19  9077.34 2.86 2.43  19.2 -0.439    17.43 19.63 02a58167o0853c
58171.553705 19.038793      NaN     7    27 c    0   1.26 186.44114 12.65885  2074.86  9363.65 2.63 2.33  10.1 -0.445    18.90 20.69 02a58171o0493c
58171.571486 17.397568      NaN  -167   133 c    0   1.20 186.44114 12.65885  2054.21  9322.08 2.77 2.51  10.3 -0.439    16.69 18.39 02a58171o0528c
58171.575494 16.793477      NaN  -358   232 c    0   1.26 186.44114 12.65885  2112.82  9402.05 2.69 2.39   9.8 -0.460    16.49 18.12 02a58171o0535c
58171.591152 18.053859      NaN    11    69 c    0   1.10 186.44114 12.65885  2133.21  9282.33 2.66 2.31  10.0 -0.445    17.76 19.43 02a58171o0565c
58194.469806 19.419021      NaN    17    15 c    0   1.34 186.44114 12.65885  7182.95  5867.53 2.60 2.52 -32.5 -0.405    19.76 21.59 02a58194o0547c
58194.482053 19.766969      NaN   -36    15 c    0   1.20 186.44114 12.65885  7160.18  5832.33 2.59 2.46  68.2 -0.429    19.76 21.58 02a58194o0573c
58194.489749 19.841877      NaN   -20    14 c    0   1.75 186.44114 12.65885  7218.79  5907.90 2.66 2.53 -54.9 -0.432    19.74 21.58 02a58194o0588c
58194.502279 19.256669      NaN    33    13 c    0   1.40 186.44114 12.65885  7228.47  5791.88 2.58 2.54 -71.7 -0.418    19.76 21.57 02a58194o0615c
58226.459370 18.606822      NaN    50    27 c    0   1.75 186.44114 12.65885  2966.34  9150.95 2.74 2.53 -46.6 -0.404    18.60 20.23 02a58226o0294c
58226.469944 19.169763      NaN   -30    26 c    0   1.55 186.44114 12.65885  2946.93  9111.24 2.71 2.55 -23.4 -0.414    18.76 20.40 02a58226o0316c
58226.480958 18.550302      NaN    45    31 c    0   1.45 186.44114 12.65885  3003.06  9188.28 2.66 2.48 -16.6 -0.435    18.55 20.12 02a58226o0339c
58226.491313 18.867907      NaN     4    33 c    0   1.27 186.44114 12.65885  3022.87  9070.06 2.77 2.60 -18.8 -0.419    18.33 19.94 02a58226o0361c
58227.442544 19.569016      NaN   -36    18 c    0   1.29 186.44114 12.65885  3573.68  9086.86 2.55 2.47 -14.1 -0.440    19.41 21.21 02a58227o0277c
58227.459107 18.504094      NaN   -29    48 c    0   1.36 186.44114 12.65885  3555.34  9045.67 2.70 2.59  -9.5 -0.432    17.70 19.34 02a58227o0313c
58227.462844 18.857417      NaN     2    34 c    0   1.89 186.44114 12.65885  3612.56  9124.99 2.69 2.64  51.1 -0.441    18.53 20.21 02a58227o0320c
58227.476751 17.710822      NaN    59    80 c    0   1.16 186.44114 12.65885  3630.71  9005.47 2.65 2.52  -5.5 -0.434    17.43 19.08 02a58227o0350c
58251.409289 19.652575      NaN    14    12 c    0   1.37 186.44114 12.65885  5666.57  1509.62 2.64 2.58  56.2 -0.399    19.76 21.67 02a58251o0394c
58251.498315 19.419021      NaN    14    16 c    0   1.23 186.44114 12.65885  2602.86 10391.13 2.69 2.56 -40.7 -0.395    19.42 21.02 02a58251o0574c
58251.507944 19.063754      NaN    26    20 c    0   1.06 186.44114 12.65885  2603.95 10392.88 2.76 2.60 -27.7 -0.394    19.29 20.90 02a58251o0594c
58251.508400 19.454622      NaN    12    16 c    0   1.54 186.44114 12.65885  7553.61   720.42 2.70 2.65 -83.3 -0.403    19.39 21.06 02a58251o0595c
58251.519717 19.419021      NaN    11    17 c    0   1.69 186.44114 12.65885  7551.40   723.00 2.75 2.66 -46.1 -0.407    19.30 20.94 02a58251o0618c
58252.452408 19.197966      NaN    19    19 c    0   1.40 186.44114 12.65885  2606.73 10386.63 2.63 2.49 -19.8 -0.403    19.59 21.22 02a58252o0456c
58252.470801 19.038793      NaN    37    17 c    0   1.46 186.44114 12.65885  2605.95 10387.51 2.66 2.45  -2.2 -0.425    19.55 21.14 02a58252o0492c
58252.477120 19.766969      NaN     3    14 c    0   1.36 186.44114 12.65885  7559.94   715.09 2.63 2.58 -76.2 -0.412    19.52 21.21 02a58252o0504c
