         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57768.669790 18.598565      NaN     -271     44 o    0    1.33 186.44598 12.66357  8464.12  5108.12  3.92  3.78   8.2 -0.400    18.46 19.38 02a57768o0898o
57788.606078 18.933071      NaN       25     24 o    0    4.11 186.44598 12.66357  6013.49  7251.71  3.44  3.29  89.2 -0.460    19.55 21.28 02a57788o0755o
57788.619491 18.867907      NaN       34     23 o    0    4.26 186.44598 12.66357  5992.82  7211.49  3.47  3.31  87.8 -0.453    19.52 21.23 02a57788o0781o
57788.640542 19.169763      NaN      -79     26 o    0    3.86 186.44598 12.66357  6053.48  7290.79  3.49  3.36 -87.2 -0.448    19.50 21.22 02a57788o0820o
57788.657012 18.847027      NaN       30     25 o    0    4.40 186.44598 12.66357  6072.38  7172.56  3.46  3.28 -86.5 -0.459    19.47 21.12 02a57788o0850o
57788.674214 18.191747      NaN      -30     64 o    0    2.07 186.44598 12.66357  6036.54  7231.89  3.56  3.49  12.7 -0.441    18.37 19.08 02a57788o0879o
57792.603788 19.014394      NaN      -39     30 o    0    2.28 186.44598 12.66357  8460.57  4013.54  3.76  3.31  88.1 -0.422    18.88 20.01 02a57792o0015o
57792.626147 18.910912      NaN     -109     33 o    0    2.10 186.44598 12.66357  8439.75  3975.03  3.77  3.23  88.6 -0.439    19.16 20.58 02a57792o0052o
57792.643328 18.878500      NaN     -115     34 o    0    1.92 186.44598 12.66357  8497.99  4053.13  3.84  3.35  86.3 -0.432    19.23 20.77 02a57792o0080o
57792.661914 18.910912      NaN      -73     33 o    0    1.86 186.44598 12.66357  8520.72  3937.58  3.76  3.30  87.6 -0.435    18.96 20.36 02a57792o0109o
57800.597794 18.623526      NaN      -78     43 o    0    2.09 186.44598 12.66357  5856.22  6773.14  3.40  3.29 -81.5 -0.474    18.88 19.95 02a57800o0565o
57800.612619 18.376212      NaN     -223     54 o    0    1.52 186.44598 12.66357  5837.53  6732.50  3.36  3.23 -75.5 -0.477    18.93 20.03 02a57800o0590o
57800.629152 18.878500      NaN     -156     34 o    0    2.78 186.44598 12.66357  5895.50  6809.11  3.48  3.35 -82.8 -0.461    18.89 20.00 02a57800o0623o
57800.645249 18.649074      NaN     -100     42 o    0    1.71 186.44598 12.66357  5917.96  6692.54  3.68  3.57   8.9 -0.421    18.79 19.94 02a57800o0655o
57804.618801 16.750654      NaN      226    166 o    0    1.13 186.44598 12.66357  4093.89  3111.08  4.20  4.01 -84.5 -0.622    17.46 18.85 01a57804o0667o
57804.633190 17.685696      NaN     -294    102 o    0    1.12 186.44598 12.66357  4115.27  3149.65  4.24  4.05 -80.3 -0.608    17.84 19.32 01a57804o0695o
57804.646562 18.125925      NaN    -1270     68 o    0    5.44 186.44598 12.66357  4058.70  3072.47  4.04  3.86 -75.7 -0.659    18.05 19.55 01a57804o0721o
57804.661034 14.919836      NaN    -8980   1303 o    0    3.47 186.44598 12.66357  4041.81  3187.34  4.22  4.02 -77.2 -0.674    15.42 16.31 01a57804o0749o
57806.612514 18.598565      NaN     -353     44 o    0    2.15 186.44598 12.66357  2886.31  4708.55  4.39  4.10 -78.0 -0.536    18.80 20.60 01a57806o0775o
57806.626380 18.459772      NaN     -158     50 o    0    1.44 186.44598 12.66357  2907.80  4746.51  4.39  4.12 -78.8 -0.535    18.78 20.57 01a57806o0802o
57806.640082 18.649074      NaN     -220     42 o    0    2.73 186.44598 12.66357  2850.49  4669.32  4.41  4.14 -79.6 -0.518    18.77 20.55 01a57806o0829o
57806.653942 18.417189      NaN     -161     52 o    0    1.70 186.44598 12.66357  2831.86  4784.77  4.57  4.38 -78.9 -0.531    18.62 20.38 01a57806o0856o
57808.622139 18.786693      NaN     -296     37 o    0    2.87 186.44598 12.66357  1858.98  4191.18  4.94  4.59 -79.2 -0.488    18.75 20.74 01a57808o0695o
